method,precision_at_3,recall_at_3,mrr,ndcg_at_3,map,evaluated_papers
TF-IDF,0.0434560327198364,0.04164110429447852,0.11927871059296669,0.045624483309019935,0.05621959353222916,652
Embedding,0.04396728016359918,0.04100204498977505,0.12792421372384388,0.04741300715542788,0.0623168024086294,652
Proposed,0.040388548057259714,0.03990286298568507,0.12364939991853145,0.04534835719246985,0.05879167519300754,652
