version,precision_at_3,recall_at_3,mrr,ndcg_at_3,map,evaluated_papers
Base semantic only,0.04396728016359918,0.04100204498977505,0.12792421372384388,0.04741300715542788,0.0623168024086294,652
Semantic + authority,0.015337423312883436,0.013752556237218813,0.059612603312703294,0.016076559999042978,0.027313524648459233,652
Semantic + KG,0.03987730061349693,0.03514826175869121,0.12480333579468374,0.043775218155155504,0.06042947677130377,652
Semantic + LLM Profile,0.04907975460122699,0.04772494887525562,0.1325738921479145,0.05613973768374841,0.06256074509657894,652
Semantic + KG + LLM Profile,0.03987730061349693,0.03747443762781186,0.123094530406354,0.045260049420566224,0.0591528500640039,652
Semantic + KG + light authority,0.03271983640081799,0.03008691206543967,0.11111704084436819,0.03607530369588553,0.05390592949410488,652
Reciprocal rank fusion,0.037321063394683024,0.03341002044989775,0.11677734499535221,0.04019974079365312,0.05438612724326934,652
COI filtering,0.041922290388548056,0.03870143149284253,0.12274574831528576,0.04484461798254453,0.05898517953262685,652
Full system,0.040388548057259714,0.03990286298568507,0.12364939991853145,0.04534835719246985,0.05879167519300754,652
